link,name
https://www.goodreads.com//book/show/39999.The_Boy_in_the_Striped_Pajamas,The Boy in the Striped Pajamas 
https://www.goodreads.com//book/show/14497.Neverwhere,Neverwhere 
https://www.goodreads.com//book/show/29056083-harry-potter-and-the-cursed-child,Harry Potter and the Cursed Child: Parts One and Two 
https://www.goodreads.com//book/show/43848929-talking-to-strangers,Talking to Strangers: What We Should Know About the People We Don’t Know 
https://www.goodreads.com//book/show/4929.Kafka_on_the_Shore,Kafka on the Shore 
https://www.goodreads.com//book/show/30555488-the-underground-railroad,The Underground Railroad 
https://www.goodreads.com//book/show/5043.The_Pillars_of_the_Earth,The Pillars of the Earth 
https://www.goodreads.com//book/show/60060431-things-we-never-got-over,Things We Never Got Over 
https://www.goodreads.com//book/show/11297.Norwegian_Wood,Norwegian Wood 
https://www.goodreads.com//book/show/55196813-the-maid,The Maid 
https://www.goodreads.com//book/show/25111004-november-9,November 9 
https://www.goodreads.com//book/show/53152636-mexican-gothic,Mexican Gothic 
https://www.goodreads.com//book/show/4137.Me_Talk_Pretty_One_Day,Me Talk Pretty One Day 
https://www.goodreads.com//book/show/50520939-the-atlas-six,The Atlas Six 
https://www.goodreads.com//book/show/24800.House_of_Leaves,House of Leaves 
https://www.goodreads.com//book/show/52036.Siddhartha,Siddhartha 
https://www.goodreads.com//book/show/54493401-project-hail-mary,Project Hail Mary 
https://www.goodreads.com//book/show/31685789-room,Room 
https://www.goodreads.com//book/show/8127.Anne_of_Green_Gables,Anne of Green Gables 
https://www.goodreads.com//book/show/8490112-daughter-of-smoke-bone,Daughter of Smoke & Bone 
https://www.goodreads.com//book/show/36206591-love-and-other-words,Love and Other Words 
https://www.goodreads.com//book/show/3236307-graceling,Graceling 
https://www.goodreads.com//book/show/14891.A_Tree_Grows_in_Brooklyn,A Tree Grows in Brooklyn 
https://www.goodreads.com//book/show/9712.Love_in_the_Time_of_Cholera,Love in the Time of Cholera 
https://www.goodreads.com//book/show/6.Harry_Potter_and_the_Goblet_of_Fire,Harry Potter and the Goblet of Fire 
https://www.goodreads.com//book/show/69571.Rich_Dad_Poor_Dad,"Rich Dad, Poor Dad "
https://www.goodreads.com//book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,Harry Potter and the Prisoner of Azkaban 
https://www.goodreads.com//book/show/2956.The_Adventures_of_Huckleberry_Finn,The Adventures of Huckleberry Finn 
https://www.goodreads.com//book/show/11614718-delirium,Delirium 
https://www.goodreads.com//book/show/10127019-the-lean-startup,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses 
